"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 14 February 2008   Time: 10:36:31 AM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U15.K27 (at pin)"
"Probe 2: U15.K26 (at pin)"
"Probe 3 (Differential): P5.D8 (at pin)/P5.D7 (at pin)"
"Probe 4: disabled"
"Probe 5: disabled"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2","Probe V 3","Probe I 3"
"","   0.0000e-11","1.0692e+000",DC,"1.4819e+000",DC,"4.0071e-001",DC
"","   0.9775e-11","1.0692e+000","-3.9806e-003","1.4819e+000","3.9801e-003","4.0064e-001","8.0093e-003"
"","   1.9550e-11","1.0692e+000","-3.9823e-003","1.4819e+000","3.9812e-003","4.0064e-001","8.0093e-003"
"","   2.9326e-11","1.0692e+000","-3.9839e-003","1.4819e+000","3.9821e-003","4.0071e-001","8.0144e-003"
"","   3.9101e-11","1.0692e+000","-3.9854e-003","1.4819e+000","3.9829e-003","4.0071e-001","8.0140e-003"
"","   4.8876e-11","1.0692e+000","-3.9868e-003","1.4819e+000","3.9837e-003","4.0071e-001","8.0142e-003"
"","   5.8651e-11","1.0692e+000","-3.9881e-003","1.4819e+000","3.9843e-003","4.0071e-001","8.0140e-003"
"","   6.8427e-11","1.0692e+000","-3.9892e-003","1.4819e+000","3.9848e-003","4.0071e-001","8.0140e-003"
"","   7.8202e-11","1.0692e+000","-3.9903e-003","1.4819e+000","3.9841e-003","4.0071e-001","8.0140e-003"
"","   8.7977e-11","1.0697e+000","-3.9914e-003","1.4814e+000","3.9757e-003","4.0070e-001","8.0141e-003"
"","   9.7752e-11","1.0701e+000","-3.9923e-003","1.4810e+000","3.9658e-003","4.0070e-001","8.0140e-003"
"","  10.7527e-11","1.0697e+000","-3.9932e-003","1.4814e+000","3.9438e-003","4.0070e-001","8.0140e-003"
"","  11.7303e-11","1.0701e+000","-3.9932e-003","1.4810e+000","3.9049e-003","4.0071e-001","8.0140e-003"
"","  12.7078e-11","1.0701e+000","-3.9827e-003","1.4810e+000","3.8094e-003","4.0071e-001","8.0140e-003"
"","  13.6853e-11","1.0701e+000","-3.9705e-003","1.4810e+000","3.6935e-003","4.0071e-001","8.0140e-003"
"","  14.6628e-11","1.0700e+000","-3.9439e-003","1.4810e+000","3.5787e-003","4.0071e-001","8.0139e-003"
"","  15.6404e-11","1.0700e+000","-3.9053e-003","1.4810e+000","3.4648e-003","4.0068e-001","8.0124e-003"
"","  16.6179e-11","1.0700e+000","-3.8493e-003","1.4810e+000","3.3520e-003","4.0071e-001","8.0142e-003"
"","  17.5954e-11","1.0699e+000","-3.6978e-003","1.4807e+000","3.2180e-003","4.0070e-001","8.0138e-003"
"","  18.5729e-11","1.0699e+000","-3.5704e-003","1.4805e+000","3.1282e-003","4.0070e-001","8.0137e-003"
"","  19.5504e-11","1.0698e+000","-3.3924e-003","1.4799e+000","3.0098e-003","4.0071e-001","8.0140e-003"
"","  20.5280e-11","1.0698e+000","-3.2720e-003","1.4787e+000","2.9400e-003","4.0071e-001","8.0140e-003"
"","  21.5055e-11","1.0702e+000","-3.1810e-003","1.4760e+000","2.8561e-003","4.0071e-001","8.0140e-003"
"","  22.4830e-11","1.0704e+000","-3.0915e-003","1.4731e+000","2.7711e-003","4.0071e-001","8.0139e-003"
"","  23.4605e-11","1.0711e+000","-2.9890e-003","1.4700e+000","2.6631e-003","4.0071e-001","8.0145e-003"
"","  24.4380e-11","1.0722e+000","-2.7853e-003","1.4660e+000","2.4064e-003","4.0072e-001","8.0147e-003"
"","  25.4156e-11","1.0737e+000","-2.5292e-003","1.4617e+000","2.0849e-003","4.0072e-001","8.0147e-003"
"","  26.3931e-11","1.0782e+000","-2.2132e-003","1.4570e+000","1.6858e-003","4.0072e-001","8.0146e-003"
"","  27.3706e-11","1.0814e+000","-1.8873e-003","1.4528e+000","1.3094e-003","4.0072e-001","8.0147e-003"
"","  28.3481e-11","1.0865e+000","-1.4626e-003","1.4484e+000","9.5570e-004","4.0072e-001","8.0147e-003"
"","  29.3257e-11","1.0908e+000","-9.9529e-004","1.4450e+000","6.1448e-004","4.0072e-001","8.0146e-003"
